"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2024","1,476.250","1,573.010","1,573.505","1,477.250","","-6.09%"
"03/18/2024","1,572.010","1,610.740","1,610.740","1,400.250","","-2.34%"
"03/15/2024","1,609.740","1,591.500","1,611.870","1,570.250","","1.21%"
"03/14/2024","1,590.500","1,594.500","1,594.955","1,585.500","","-0.15%"
"03/13/2024","1,592.910","1,612.780","1,612.780","1,580.250","","-1.17%"
"03/12/2024","1,611.780","1,625.230","1,625.230","1,575.250","","-0.77%"
"03/11/2024","1,624.230","1,594.340","1,625.230","1,531.000","","1.94%"
"03/08/2024","1,593.340","1,590.140","1,594.340","1,505.500","","0.26%"
"03/07/2024","1,589.140","1,591.170","1,595.500","1,580.250","","-0.06%"
"03/06/2024","1,590.170","1,561.010","1,592.585","1,560.500","","1.93%"
"03/05/2024","1,560.010","1,544.580","1,561.010","1,500.500","","1.06%"
"03/04/2024","1,543.580","1,544.580","1,544.580","1,380.500","","-0.09%"
"03/01/2024","1,545.000","1,617.550","1,617.550","1,300.500","","-4.43%"
"02/29/2024","1,616.550","1,630.660","1,630.660","1,300.500","","-0.80%"
"02/28/2024","1,629.660","1,579.080","1,630.660","1,507.500","","3.27%"
"02/27/2024","1,578.080","1,506.850","1,662.850","1,506.425","","4.80%"
"02/26/2024","1,505.850","1,489.400","1,560.500","1,489.400","","1.17%"
"02/23/2024","1,488.400","1,489.400","1,607.000","1,470.500","","0.00%"
"02/22/2024","1,488.400","1,606.320","1,607.160","1,489.400","","-7.26%"
"02/21/2024","1,605.000","1,606.300","1,680.750","1,420.500","","0.00%"
"02/20/2024","1,605.000","1,493.730","1,607.650","1,490.500","","7.52%"
"02/19/2024","1,492.730","1,493.730","1,531.000","1,250.750","","0.00%"
"02/16/2024","1,492.730","1,517.200","1,530.750","1,493.365","","-1.55%"
"02/15/2024","1,516.200","1,515.590","1,518.600","1,449.500","","0.11%"
"02/14/2024","1,514.590","1,515.590","1,516.795","1,449.500","","0.00%"
"02/13/2024","1,514.590","1,481.980","1,517.295","1,449.500","","0.97%"
"02/12/2024","1,500.000","1,474.620","1,503.750","1,250.750","","1.79%"
"02/09/2024","1,473.620","1,445.060","1,474.620","1,250.500","","2.05%"
"02/08/2024","1,444.060","1,418.130","1,445.060","1,250.500","","1.90%"
"02/07/2024","1,417.130","1,408.000","1,418.130","1,408.000","","0.72%"
"02/06/2024","1,407.000","1,421.020","1,421.020","1,250.500","","-0.92%"
"02/05/2024","1,420.020","1,414.120","1,421.020","1,100.500","","0.49%"
"02/02/2024","1,413.120","1,357.380","1,414.120","950.500","","4.18%"
"02/01/2024","1,356.380","1,192.940","1,358.700","1,100.500","","13.80%"
"01/31/2024","1,191.940","1,100.500","1,192.940","1,100.500","","8.36%"
"01/30/2024","1,100.000","892.050","1,250.750","892.050","","23.45%"
"01/29/2024","891.050","899.200","911.000","892.050","","-0.80%"
"01/26/2024","898.200","887.390","901.500","887.390","","1.33%"
"01/25/2024","886.390","900.270","900.980","887.390","","-1.43%"
"01/24/2024","899.270","914.560","914.560","870.500","","-1.56%"
"01/23/2024","913.560","891.010","914.560","849.500","","2.65%"
"01/22/2024","890.010","891.040","911.000","891.005","","0.00%"
"01/19/2024","890.040","895.520","910.750","860.500","","-0.50%"
"01/18/2024","894.520","859.060","910.750","859.060","","4.26%"
"01/17/2024","858.000","853.770","910.750","853.770","","0.61%"
"01/16/2024","852.770","865.990","910.750","853.770","","-1.41%"
"01/15/2024","864.990","865.990","879.680","865.990","","-9.61%"
"01/12/2024","957.000","958.050","959.025","958.025","","-0.01%"
"01/11/2024","957.050","951.490","959.025","951.245","","0.69%"
"01/10/2024","950.490","952.500","952.745","951.245","","4.11%"
"01/09/2024","913.000","885.200","914.500","885.200","","0.00%"
"01/08/2024","913.000","914.430","914.715","884.500","","0.00%"
"01/05/2024","913.000","912.440","914.715","884.500","","0.17%"
"01/04/2024","911.440","891.900","912.440","884.500","","2.31%"
"01/03/2024","890.900","884.800","891.900","884.400","","0.89%"
"01/02/2024","883.000","882.030","897.500","882.030","","0.22%"
"01/01/2024","881.030","882.030","882.030","882.030","","0.00%"
"12/29/2023","881.030","896.610","897.805","882.030","","-1.63%"
"12/28/2023","895.610","885.000","905.500","885.000","","1.31%"
"12/27/2023","884.000","905.100","906.050","884.500","","-2.22%"
"12/26/2023","904.100","904.100","906.050","904.050","","-0.05%"
"12/25/2023","904.570","903.890","904.720","903.890","","-0.09%"
"12/22/2023","905.390","903.000","906.390","903.000","","0.38%"
"12/21/2023","902.000","825.000","903.000","825.000","","9.47%"
"12/20/2023","824.000","825.000","825.000","825.000","","0.00%"
"12/19/2023","824.000","825.000","825.000","825.000","","4.44%"
"12/18/2023","789.000","790.000","790.000","790.000","","0.00%"
"12/15/2023","789.000","791.000","802.500","789.500","","-0.13%"
"12/14/2023","790.000","803.000","803.500","789.500","","-1.50%"
"12/13/2023","802.000","802.420","803.500","789.500","","0.07%"
"12/12/2023","801.450","791.000","803.225","789.500","","1.45%"
"12/11/2023","790.000","791.000","802.500","789.500","","0.00%"
"12/08/2023","790.000","801.000","802.500","789.500","","-1.25%"
"12/07/2023","800.000","802.000","803.000","789.500","","-0.12%"
"12/06/2023","801.000","802.000","802.000","802.000","","0.00%"
"12/05/2023","801.000","799.000","819.500","789.500","","0.38%"
"12/04/2023","798.000","789.000","799.500","789.000","","1.27%"
"12/01/2023","788.000","790.500","790.500","788.500","","-0.25%"
"11/30/2023","790.000","793.500","793.500","789.500","","-0.38%"
"11/29/2023","793.000","789.500","793.500","789.500","","0.51%"
"11/28/2023","789.000","799.500","806.500","789.500","","-1.25%"
"11/27/2023","799.000","789.500","806.500","789.500","","-0.62%"
"11/24/2023","804.000","804.390","806.500","804.390","","0.01%"
"11/23/2023","803.890","804.390","804.390","804.390","","0.00%"
"11/22/2023","803.890","816.600","816.600","804.390","","-1.50%"
"11/21/2023","816.100","820.180","821.840","816.600","","-0.44%"
"11/20/2023","819.680","840.040","845.500","819.840","","-2.37%"
"11/17/2023","839.540","827.340","845.500","827.340","","1.54%"
"11/16/2023","826.840","843.580","845.540","827.340","","-1.93%"
"11/15/2023","843.080","843.580","846.000","843.540","","-0.22%"
"11/14/2023","844.940","844.940","845.440","845.440","","5.35%"
"11/13/2023","802.000","803.000","803.000","803.000","","0.00%"
"11/10/2023","802.000","803.000","803.000","803.000","","0.00%"
"11/09/2023","802.000","803.300","803.400","802.900","","-0.10%"
"11/08/2023","802.800","786.590","806.500","786.590","","2.13%"
"11/07/2023","786.090","799.700","806.500","786.590","","-1.64%"
"11/06/2023","799.200","806.770","807.135","789.500","","-0.88%"
"11/03/2023","806.270","815.510","815.510","806.135","","2.45%"
"11/02/2023","787.000","787.500","788.500","787.500","","0.00%"
"11/01/2023","787.000","787.500","789.500","786.500","","0.25%"
"10/31/2023","785.000","786.480","786.990","785.990","","-0.12%"
"10/30/2023","785.980","790.500","795.000","785.990","","-0.51%"
"10/27/2023","790.000","802.700","802.700","789.500","","-1.52%"
"10/26/2023","802.200","795.430","802.700","788.500","","0.91%"
"10/25/2023","794.930","795.430","795.465","789.500","","0.00%"
"10/24/2023","794.930","883.500","883.500","795.430","","-9.97%"
"10/23/2023","883.000","859.730","884.500","859.115","","2.77%"
"10/20/2023","859.230","859.730","861.115","859.115","","12.46%"
"10/19/2023","764.000","774.940","774.940","766.000","","-1.35%"
